#BMG  <<<  The first 4 characters '#BMG' are the magic for a BMG text file.
#     <<<  Don't remove them!
#
# Details about BMG text files are available in the Web:
#  * Syntax and Semantics: https://szs.wiimm.de/doc/bmg/text
#  * The BMG file format:  https://szs.wiimm.de/r/wiki/BMG
#
#
#------------------------------------------------------------------------------

#--- standard track names

  T11	= ルイージサーキット
  T12	= モーモーカントリー
  T13	= キノコキャニオン
  T14	= キノピオファクトリー

  T21	= マリオサーキット
  T22	= ココナッツモール
  T23	= DKスノーボードクロス
  T24	= ワリオこうざん

  T31	= デイジーサーキット
  T32	= ノコノコみさき
  T33	= メイプルツリーハウス
  T34	= グラグラかざん

  T41	= カラカラいせき
  T43	= クッパキャッスル
  T44	= レインボーロード

  T51	= GC ピーチビーチ
  T52	= DS ヨッシーフォールズ
  T53	= SFC おばけぬま２
  T54	= 64 マリオサーキット

  T61	= 64 シャーベットランド
  T62	= GBA ヘイホービーチ
  T63	= DS モンテタウン
  T64	= GC ワルイージスタジアム

  T71	= DS サンサンさばく
  T72	= GBA クッパキャッスル３
  T73	= 64 DKジャングルパーク
  T74	= GC マリオサーキット

  T81	= SFC マリオサーキット３
  T82	= DS ピーチガーデン
  T83	= GC DKマウンテン
  T84	= 64 クッパキャッスル

#--- battle track names

  U11	= ブロックひろば
  U12	= アクアリゾート
  U13	= ファンキースタジアム
  U14	= ワンワンルーレット
  U15	= ドッスンさばく

  U21	= SFC バトルコース４
  U22	= GBA バトルコース３
  U23	= 64 まてんろう
  U24	= GC クッキーランド
  U25	= DS ゆうやみハウス

  2328	= マリオ
  2329	= ベビィピーチ
  232a	= ワルイージ
  232b	= クッパ
  232c	= ベビィデイジー
  232d	= カロン
  232e	= ベビィマリオ
  232f	= ルイージ
  2330	= キノピオ
  2331	= ドンキーコング
  2332	= ヨッシー
  2333	= ワリオ
  2334	= ベビィルイージ
  2335	= キノピコ
  2336	= ノコノコ
  2337	= デイジー
  2338	= ピーチ
  2339	= キャサリン
  233a	= ディディーコング
  233b	= キングテレサ
  233c	= クッパJr.
  233d	= ほねクッパ
  233e	= ファンキーコング
  233f	= ロゼッタ
  2340	= Mii
  235a	= \z{802,120000}
  235b	= \z{802,120000}
  235c	= MiiスーツA
  235d	= MiiスーツB
  235e	/
  238c	= スタンダード・カートS
  238d	= スタンダード・カートM
  238e	= スタンダード・カートL
  238f	= スーパーベビィカー
  2390	= ノスタルジア
  2391	= サバイバルバギー
  2392	= ミニ・チャージャー
  2393	= ワイルドスター
  2394	= ファイアホットロッド
  2395	= スーパープクプク
  2396	= スーパーゲッソー
  2397	= パックンカート
  2398	= ホットラリー
  2399	= ファンタジア
  239a	= ファストグライド
  239b	= ブルーファルコン
  239c	= Bダッシュ Mk.2
  239d	= トリッキー
