#BMG  <<<  The first 4 characters '#BMG' are the magic for a BMG text file.
#     <<<  Don't remove them!
#
# Details about BMG text files are available in the Web:
#  * Syntax and Semantics: https://szs.wiimm.de/doc/bmg/text
#  * The BMG file format:  https://szs.wiimm.de/r/wiki/BMG
#
#
#------------------------------------------------------------------------------

#--- standard track names

  T11	= Circuito de Luigi
  T12	= Pradera Mu-Mu
  T13	= Barranco Champiñón
  T14	= Fábrica de Toad

  T21	= Circuito Mario
  T22	= Centro Cocotero
  T23	= Cumbre DK
  T24	= Mina de Wario

  T31	= Circuito de Daisy
  T32	= Colina de Koopa
  T33	= Senda del Arce
  T34	= Volcán Gruñón

  T41	= Ruinas Seco-Seco
  T42	= Circuito Luz de Luna
  T43	= Castillo de Bowser
  T44	= Senda Arco Iris

  T51	= GCN Playa Peach
  T52	= DS Cataratas de Yoshi
  T53	= SNES Valle Fantasma 2
  T54	= N64 Pista Mario

  T61	= N64 Tierra Sorbete
  T62	= GBA Playa Shy Guy
  T63	= DS Ciudad Delfino
  T64	= GCN Estadio Waluigi

  T71	= DS Desierto Sol-Sol
  T72	= GBA Castillo de Bowser 3
  T73	= N64 Pista de la Jungla DK
  T74	= GCN Circuito Mario

  T81	= SNES Circuito Mario 3
  T82	= DS Jardín de Peach
  T83	= GCN Montaña DK
  T84	= N64 Castillo de Bowser

#--- battle track names

  U11	= Plaza Cúbica
  U12	= Muelle Delfino
  U13	= Estadio Funky
  U14	= Ruleta Chomp Cadenas
  U15	= Desierto Roca Picuda

  U21	= SNES Circuito de Batalla 4
  U22	= GBA Circuito de Batalla 3
  U23	= N64 Rascacielos
  U24	= GCN Tierra Galleta
  U25	= DS Casa Crepuscular

  2328	= Mario
  2329	= Bebé Peach
  232a	= Waluigi
  232b	= Bowser
  232c	= Bebé Daisy
  232d	= Huesitos
  232e	= Bebé Mario
  232f	= Luigi
  2330	= Toad
  2331	= Donkey Kong
  2332	= Yoshi
  2333	= Wario
  2334	= Bebé Luigi
  2335	= Toadette
  2336	= Koopa Troopa
  2337	= Daisy
  2338	= Peach
  2339	= Birdo
  233a	= Diddy Kong
  233b	= Rey Boo
  233c	= Bowsy
  233d	= Bowsitos
  233e	= Funky Kong
  233f	= Estela
  2340	= Mii
  235a	= \z{802,120000}
  235b	= \z{802,120000}
  235c	= Mii (uniforme A)
  235d	= Mii (uniforme B)
  235e	/
  238c	= Kart Estándar P
  238d	= Kart Estándar M
  238e	= Kart Estándar G
  238f	= Supercuna
  2390	= Modelo Clásico
  2391	= Todoterreno
  2392	= Minibestia
  2393	= Alerón Chiflado
  2394	= Carro Fulminante
  2395	= Carruaje Cheep
  2396	= Bloopercarro
  2397	= Piraña Maleante
  2398	= Minitractor
  2399	= Dominguero
  239a	= Autodeslizador
  239b	= Blue Falcon
  239c	= Super Rayo GTI
  239d	= Fullero
  239e	= Kart Estándar P
  239f	= Kart Estándar M
  23a0	= Kart Estándar G
  23a1	= Kart Estándar P
  23a2	= Kart Estándar M
  23a3	= Kart Estándar G
  23a4	= 
  23be	= Moto Estándar P
  23bf	= Moto Estándar M
  23c0	= Moto Estándar G
  23c1	= Moto Bala
  23c2	= Moto Hipersónica
  23c3	= Moto de Bowser
  23c4	= Pequeciclo
  23c5	= Ciclomotor Dulzón
  23c6	= Moto de Wario
  23c7	= Pato Raudo
  23c8	= Zum-Zum
  23c9	= Estrella Fugaz
  23ca	= Magiciclo
  23cb	= Nitrocicleta
  23cc	= Torpedo
  23cd	= Moto Cúpula
  23ce	= Velocidelfín
  23cf	= Fantasma
  23d0	= Moto Estándar P
  23d1	= Moto Estándar M
  23d2	= Moto Estándar G
  23d3	= Moto Estándar P
  23d4	= Moto Estándar M
  23d5	= Moto Estándar G
  23d6	/

#--- [23f0:23f7] racing cup names
  23f0	= Copa Champiñón
  23f1	= Copa Flor
  23f2	= Copa Estrella
  23f3	= Copa Especial
  23f4	= Copa Caparazón
  23f5	= Copa Plátano
  23f6	= Copa Hoja
  23f7	= Copa Centella

  23f8	= Coliseo Galáctico

  2486	/
  2487	= Batalla de globos
